Num,Community Area,Population
1,Rogers Park,54991
2,West Ridge,71942
3,Uptown,56362
4,Lincoln Square,39493
5,North Center,31867
6,Lake View,94368
7,Lincoln Park,64116
8,Near North Side,80484
9,Edison Park,11187
10,Norwood Park,37023
11,Jefferson Park,25448
12,Forest Glen,18508
13,North Park,17931
14,Albany Park,51542
15,Portage Park,64124
16,Irving Park,53359
17,Dunning,41932
18,Montclare,13426
19,Belmont Cragin,78743
20,Hermosa,25010
21,Avondale,39262
22,Logan Square,73595
23,Humboldt Park,56323
24,West Town,81432
25,Austin,98514
26,West Garfield Park,18001
27,East Garfield Park,20567
28,Near West Side,54881
29,North Lawndale,35912
30,South Lawndale,79288
31,Lower West Side,35769
32,Loop,29283
33,Near South Side,21390
34,Armour Square,13391
35,Douglas,18238
36,Oakland,5918
37,Fuller Park,2876
38,Grand Boulevard,21929
39,Kenwood,17841
40,Washington Park,11717
41,Hyde Park,25681
42,Woodlawn,25983
43,South Shore,49767
44,Chatham,31028
45,Avalon Park,10185
46,South Chicago,31198
47,Burnside,2916
48,Calumet Heights,13812
49,Roseland,44619
50,Pullman,7325
51,South Deering,15109
52,East Side,23042
53,West Pullman,29651
54,Riverdale,6482
55,Hegewisch,9426
56,Garfield Ridge,34513
57,Archer Heights,13393
58,Brighton Park,45368
59,McKinley Park,15612
60,Bridgeport,31977
61,New City,44377
62,West Elsdon,18109
63,Gage Park,39894
64,Clearing,23139
65,West Lawn,33355
66,Chicago Lawn,55628
67,West Englewood,35505
68,Englewood,30654
69,Greater Grand Crossing,32602
70,Ashburn,41081
71,Auburn Gresham,48743
72,Beverly,20034
73,Washington Heights,26493
74,Mount Greenwood,19093
75,Morgan Park,22544
76,O'Hare,12756
77,Edgewater,56521
,,
