coord,name,price,url,,,,,,,,,,,,,
"(41.945394555772836, -87.64853583425847)",Premier Boystown Wrigleyville Lakeview Flat,222,https://www.airbnb.com/rooms/13189052,,,,,,,,,,,,,
"(41.92920366378654, -87.72489233194054)",Stylish House close to Train and Downtown Chicago,88,https://www.airbnb.com/rooms/17317443,,,,,,,,,,,,,
"(41.92468607092711, -87.70948463902086)",Logan Square Room+Bath w/Deck!,86,https://www.airbnb.com/rooms/5851766,,,,,,,,,,,,,
"(41.82444190311945, -87.622649560332)",Completely Renovated Townhome Close to McCormick,336,https://www.airbnb.com/rooms/15055798,,,,,,,,,,,,,
"(41.868862484762936, -87.66153867810391)",Vibrant 2 bedroom apt in Taylor St.,91,https://www.airbnb.com/rooms/12136155,,,,,,,,,,,,,
"(41.94818677572494, -87.65822490045967)",Stunning condo steps from Wrigley!,321,https://www.airbnb.com/rooms/7678127,,,,,,,,,,,,,
"(41.93112542490325, -87.70119467458899)",Historic Greystone 3br-Logan Square,189,https://www.airbnb.com/rooms/7869969,,,,,,,,,,,,,
"(41.799047233470915, -87.60390730042909)",Newly Renovated 4BR/2BA Condo @ Historic Hyde Park,296,https://www.airbnb.com/rooms/17000460,,,,,,,,,,,,,
"(41.953724226764535, -87.6958259869593)","Private Room, Private Neighborhood, Great Location",62,https://www.airbnb.com/rooms/15926166,,,,,,,,,,,,,
"(41.892546762155824, -87.61911106643366)",LUXURY Top-Floor Downtown 1 BR Streeterville Apt,220,https://www.airbnb.com/rooms/17389190,,,,,,,,,,,,,
"(41.85517166833518, -87.66191057465463)","Updated, Convenient, Tidy Flat in Pilsen",66,https://www.airbnb.com/rooms/4271551,,,,,,,,,,,,,
"(41.986568341639675, -87.65710708173799)",15 minute bus ride to Michigan Avenue,56,https://www.airbnb.com/rooms/17340683,,,,,,,,,,,,,
"(41.95290623398446, -87.65613140220681)","2 blocks from Wrigley, Clean/Modern 1 bedroom!",140,https://www.airbnb.com/rooms/15701789,,,,,,,,,,,,,
"(41.974999027612256, -87.65463115547223)",Luxury Suite on Lake Michigan,124,https://www.airbnb.com/rooms/5892992,,,,,,,,,,,,,
"(41.94360791813579, -87.66224045761467)",Private Floor near Wrigley Field,152,https://www.airbnb.com/rooms/15759558,,,,,,,,,,,,,
"(41.87759505552239, -87.64995704631254)",West Loop Brick-Timber Loft by UIC Blue Line Stop,208,https://www.airbnb.com/rooms/14708591,,,,,,,,,,,,,
"(41.94306173082632, -87.65946911139244)",Lakeview Apartment,118,https://www.airbnb.com/rooms/17496298,,,,,,,,,,,,,
"(41.85362440472887, -87.62265523262951)",Luxury 2 bedroom city view apt.,341,https://www.airbnb.com/rooms/14141494,,,,,,,,,,,,,
"(41.840184468735636, -87.65247621276109)",Authentic Chicago Apartment in Bridgeport,88,https://www.airbnb.com/rooms/17287254,,,,,,,,,,,,,
"(41.945984268898464, -87.72432943288275)",Private Floor Close to Transit,84,https://www.airbnb.com/rooms/8099577,,,,,,,,,,,,,
"(41.8908871348017, -87.62037032180505)",Stunning View Excellent Location Modern Apt,282,https://www.airbnb.com/rooms/1557103,,,,,,,,,,,,,
"(41.91620070679897, -87.65469069983658)",French Farmhouse in the heart of Lincoln Park,200,https://www.airbnb.com/rooms/15544046,,,,,,,,,,,,,
"(41.8773301633779, -87.64110705347994)",SUNNY ROOM & FREE PARKING 5 MIN TO WILLIS TOWER,87,https://www.airbnb.com/rooms/14169205,,,,,,,,,,,,,
"(41.9505073876568, -87.65809904782508)",1 Bedroom across Wrigley Field,112,https://www.airbnb.com/rooms/13270895,,,,,,,,,,,,,
"(41.91862655145786, -87.64986919797094)",Pearl in the Park,269,https://www.airbnb.com/rooms/8538325,,,,,,,,,,,,,
"(41.89772907530983, -87.68283655127351)",#1 rated neighborhood in Chicago,136,https://www.airbnb.com/rooms/7810030,,,,,,,,,,,,,
"(41.90836876366778, -87.66666551000296)",STYLISH 2BDR IN TRENDY NEIGHBORHOOD,197,https://www.airbnb.com/rooms/5085454,,,,,,,,,,,,,
"(41.90674151650177, -87.66565736925929)",WICKER PK /NOBLE SQUARE Cozy 1 Bd/1 Bath Apartment,122,https://www.airbnb.com/rooms/13172832,,,,,,,,,,,,,
"(41.96517879421715, -87.65434728416253)",Amazing loft style studio W/balcony,110,https://www.airbnb.com/rooms/17448734,,,,,,,,,,,,,
"(41.91000294527903, -87.68413449186073)",Wicker Park|Private Room|Near Train,63,https://www.airbnb.com/rooms/2204244,,,,,,,,,,,,,
"(41.880310503297785, -87.68256969923125)",Cozy room with queen platform bed,56,https://www.airbnb.com/rooms/13915013,,,,,,,,,,,,,
"(41.88192260431714, -87.68336210319077)",Modern 3br duplex 8mins to Dwtn&Bulls. Sale March,302,https://www.airbnb.com/rooms/9797971,,,,,,,,,,,,,
"(41.92455368686469, -87.70258221428789)",2BR Bursting w/ Character in Hip Logan Square!,241,https://www.airbnb.com/rooms/6686012,,,,,,,,,,,,,
"(41.969185289805836, -87.75035948572713)",The Ainslie Apartment,144,https://www.airbnb.com/rooms/14267322,,,,,,,,,,,,,
"(41.87327841241792, -87.6320144748006)",Central Tower Balcony of Chicago,196,https://www.airbnb.com/rooms/9432442,,,,,,,,,,,,,
"(41.9185027695849, -87.67695667612979)",Luxurious Loft - 2BR & 2BATH,168,https://www.airbnb.com/rooms/17093618,,,,,,,,,,,,,
"(41.8737326349587, -87.6475064640936)","SPACIOUS WITH FREE PARKING, 5 MIN TO WILLIS TOWER",87,https://www.airbnb.com/rooms/14015429,,,,,,,,,,,,,
"(41.98599596378534, -87.66769743875548)",Andersonville Living,117,https://www.airbnb.com/rooms/16229723,,,,,,,,,,,,,
"(41.94255815750977, -87.64475834478417)",Cozy 1 bed in Boystown,82,https://www.airbnb.com/rooms/16793287,,,,,,,,,,,,,
"(41.94375728487296, -87.65163604506891)",Charming space in Boystown/Lakeview,106,https://www.airbnb.com/rooms/1056430,,,,,,,,,,,,,
"(41.89453915946958, -87.66523280705465)",Private Cozy Master Bedroom in West Town Chicago,56,https://www.airbnb.com/rooms/16722560,,,,,,,,,,,,,
"(41.84699003193765, -87.68363002487361)",Plzeň Bohème + Meets + Cultura,79,https://www.airbnb.com/rooms/15064745,,,,,,,,,,,,,
"(41.940836121284384, -87.65781474473575)",Lake view private bedroom,156,https://www.airbnb.com/rooms/5874798,,,,,,,,,,,,,
